"Journal","Citations"
"SCIENTIFIC REPORTS",141
"SCIENTIFIC REPORTS",84
"SCIENTIFIC REPORTS",84
"SCIENTIFIC REPORTS",83
"SCIENTIFIC REPORTS",81
"SCIENTIFIC REPORTS",80
"SCIENTIFIC REPORTS",75
"SCIENTIFIC REPORTS",71
"SCIENTIFIC REPORTS",65
"SCIENTIFIC REPORTS",65
"SCIENTIFIC REPORTS",60
"SCIENTIFIC REPORTS",56
"SCIENTIFIC REPORTS",55
"SCIENTIFIC REPORTS",55
"SCIENTIFIC REPORTS",53
"SCIENTIFIC REPORTS",53
"SCIENTIFIC REPORTS",52
"SCIENTIFIC REPORTS",50
"SCIENTIFIC REPORTS",49
"SCIENTIFIC REPORTS",49
"SCIENTIFIC REPORTS",49
"SCIENTIFIC REPORTS",48
"SCIENTIFIC REPORTS",48
"SCIENTIFIC REPORTS",48
"SCIENTIFIC REPORTS",47
"SCIENTIFIC REPORTS",46
"SCIENTIFIC REPORTS",44
"SCIENTIFIC REPORTS",43
"SCIENTIFIC REPORTS",43
"SCIENTIFIC REPORTS",43
"SCIENTIFIC REPORTS",42
"SCIENTIFIC REPORTS",42
"SCIENTIFIC REPORTS",41
"SCIENTIFIC REPORTS",41
"SCIENTIFIC REPORTS",40
"SCIENTIFIC REPORTS",40
"SCIENTIFIC REPORTS",39
"SCIENTIFIC REPORTS",39
"SCIENTIFIC REPORTS",38
"SCIENTIFIC REPORTS",38
"SCIENTIFIC REPORTS",38
"SCIENTIFIC REPORTS",37
"SCIENTIFIC REPORTS",36
"SCIENTIFIC REPORTS",36
"SCIENTIFIC REPORTS",36
"SCIENTIFIC REPORTS",36
"SCIENTIFIC REPORTS",36
"SCIENTIFIC REPORTS",36
"SCIENTIFIC REPORTS",35
"SCIENTIFIC REPORTS",35
"SCIENTIFIC REPORTS",34
"SCIENTIFIC REPORTS",33
"SCIENTIFIC REPORTS",33
"SCIENTIFIC REPORTS",33
"SCIENTIFIC REPORTS",33
"SCIENTIFIC REPORTS",32
"SCIENTIFIC REPORTS",32
"SCIENTIFIC REPORTS",32
"SCIENTIFIC REPORTS",32
"SCIENTIFIC REPORTS",32
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",31
"SCIENTIFIC REPORTS",30
"SCIENTIFIC REPORTS",30
"SCIENTIFIC REPORTS",30
"SCIENTIFIC REPORTS",29
"SCIENTIFIC REPORTS",29
"SCIENTIFIC REPORTS",29
"SCIENTIFIC REPORTS",29
"SCIENTIFIC REPORTS",28
"SCIENTIFIC REPORTS",28
"SCIENTIFIC REPORTS",28
"SCIENTIFIC REPORTS",28
"SCIENTIFIC REPORTS",28
"SCIENTIFIC REPORTS",27
"SCIENTIFIC REPORTS",27
"SCIENTIFIC REPORTS",27
"SCIENTIFIC REPORTS",27
"SCIENTIFIC REPORTS",27
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",26
"SCIENTIFIC REPORTS",25
"SCIENTIFIC REPORTS",25
"SCIENTIFIC REPORTS",25
"SCIENTIFIC REPORTS",25
"SCIENTIFIC REPORTS",25
"SCIENTIFIC REPORTS",25
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",24
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",23
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",22
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",21
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",20
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",19
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",18
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
"SCIENTIFIC REPORTS",17
